Zeit;ProbeA;ProbeB;ProbeC;ProbeD;ProbeE;ProbeF;ProbeG;ProbeH;ProbeI;ProbeJ;ProbeK;ProbeL
0,5;-1,034094;-0,3507;-0,3056;-0,10962;0,24282;-0,44204;-0,92426;0,28992;-0,526;-1,064;-0,622;-0,164
1;-0,590364;-0,294;-0,3421;-0,30012;-0,51048;-0,66964;-0,23876;-0,53758;-0,686;-1,034;-0,522;-1,164
1,5;-0,304584;-0,2214;-0,236;-0,38032;-0,15418;-0,33594;-0,14316;-0,11428;0,514;0,506;-0,042;0,006
2;0,695026;0,2778;0,0661;0,13008;0,19222;0,53856;0,28304;0,05542;0,354;0,206;0,288;0,396
2,5;1,234016;0,5883;0,8176;0,65998;0,22962;0,90906;1,02314;0,30652;0,344;1,386;0,898;0,926
3;3,592306;1,6537;1,516;3,24498;2,02112;4,15206;1,02914;0,41352;0,844;5,306;2,698;3,806
3,5;12,933606;5,3651;5,1633;14,06488;9,97182;16,02616;1,35864;0,31072;0,954;25,906;11,968;18,586
4;41,735706;19,1272;20,543;49,65658;38,48692;51,47376;1,23624;0,42262;0,654;101,866;54,088;80,186
4,5;89,585806;56,3211;61,7335;112,82418;96,55442;112,57426;1,87594;1,02732;1,724;246,096;169,948;211,906
5;132,335706;114,8373;122,1821;169,30318;156,76342;172,37626;2,06194;1,07822;1,984;377,526;319,338;347,236
5,5;164,888706;170,9983;174,8281;212,14618;202,11342;218,17826;2,09264;1,60302;1,994;477,046;438,788;451,146
6;192,243706;214,8513;214,0731;245,75318;238,21042;253,70426;3,04194;2,04172;2,534;552,206;529,538;531,226
6,5;214,619706;248,1993;244,4331;272,44718;267,04142;283,87526;3,39524;2,05822;3,614;612,426;599,558;594,946
7;232,531706;274,2603;268,0131;293,51118;290,43642;308,12326;3,19964;2,14262;4,514;659,576;654,118;647,396
7,5;248,479706;296,5043;287,8691;312,26018;311,46142;328,32926;4,59354;3,92482;5,984;698,916;697,658;690,686
8;262,012706;313,8593;303,3891;327,72218;328,36542;345,88526;5,18884;3,74302;7,474;731,846;733,018;726,276
8,5;273,868706;328,6613;317,1521;341,21818;343,08342;360,61726;5,74924;4,07802;8,414;760,356;762,748;755,316
9;285,939706;340,6853;328,9991;353,47518;355,80042;373,17026;6,73174;4,86812;9,424;784,196;785,698;780,166
9,5;296,326706;352,2313;339,4861;363,77418;367,57742;384,58226;8,08674;5,68832;10,144;804,336;806,628;800,716
10;305,019706;361,4133;347,5191;372,20818;377,21442;392,60726;8,00384;5,70372;12,394;823,496;824,938;819,606
10,5;313,784706;369,8883;355,1171;380,36818;385,88942;400,69326;8,89554;7,34392;13,414;838,486;839,608;834,896
11;320,903706;377,3003;362,0931;388,00618;393,50442;407,72226;9,71724;7,51692;13,554;850,566;851,758;847,896
11,5;326,008706;383,0583;367,3701;393,63818;400,67542;412,66926;10,04764;7,86872;14,734;861,606;862,218;859,386
12;331,618706;389,1963;372,2911;400,05518;407,00742;417,57426;10,60024;8,36912;15,674;870,376;871,448;868,526
12,5;336,635706;394,2153;377,0221;405,12818;411,96742;421,65626;11,18264;8,87552;16,064;877,986;877,668;876,026
13;341,256706;398,4683;380,6471;409,37318;415,56442;424,94326;11,36524;9,00822;16,474;882,806;882,798;881,376
13,5;345,198706;401,6113;384,2311;412,62518;419,74442;427,98826;11,65104;9,39892;17,824;888,306;887,858;887,716
14;349,230706;404,6383;387,6311;417,11718;422,76242;432,48626;12,39354;9,58212;18,624;891,466;890,968;891,056
14,5;352,952706;406,9893;389,1851;420,70418;425,63942;433,78626;12,45984;10,30262;19,434;894,496;894,278;895,066
15;355,950706;409,4633;391,4471;424,73718;428,44742;436,73126;12,84814;10,47682;20,054;896,426;894,978;897,546
15,5;360,289706;411,0253;393,2361;429,50118;431,18142;439,93926;13,15804;10,46782;20,664;899,396;897,298;900,826
16;364,483706;413,2623;395,9711;433,76418;433,78642;442,26926;13,47484;10,49432;20,914;901,416;898,368;903,386
16,5;369,298706;414,1913;397,8951;438,17818;436,95242;445,72426;13,47214;10,91452;21,844;903,826;900,248;906,376
17;375,606706;416,5573;400,4811;444,47318;440,40442;448,71726;14,27674;11,83732;22,164;905,726;900,438;908,116
17,5;380,237706;418,4613;403,2451;450,18518;443,97242;452,05026;14,11154;11,58952;22,054;908,626;901,958;908,776
18;386,024706;420,7913;408,2511;456,87818;448,25442;455,63226;15,52104;11,98412;23,134;910,426;903,728;910,276
18,5;390,328706;423,7553;412,1421;462,21118;451,67342;457,81526;15,11924;12,13212;23,424;912,366;904,688;909,376
19;394,811706;427,7123;417,1051;467,34018;455,47342;460,59526;15,21094;12,35642;23,734;912,586;907,038;902,736
19,5;398,681706;431,8073;421,9721;472,21918;458,77142;463,71326;16,16584;13,00722;22,574;906,816;908,138;889,776
20;401,991706;436,1683;428,1101;476,63718;463,08442;466,79326;16,54874;13,10582;22,204;895,096;910,688;872,156
