konz;ct
10;38,26
10;36,19
10;35,91
10;36,91
100;31,92
100;31,86
100;32,64
100;33,04
100;34,49
100;33,36
100;35,6
1000;32,12
1000;32,23
1000;32,29
1000;32,11
1000;32,01
1000;32,11
1000;31,51
10000;28,2
10000;28,65
10000;28,56
10000;29,01
10000;28,29
10000;28,79
10000;28,73
100000;25,33
100000;25,17
100000;25,42
100000;25,28
100000;25,24
100000;25,3
100000;25,46
1000000;21,8
1000000;21,8
1000000;21,87
1000000;21,84
1000000;21,84
1000000;21,82
1000000;21,86
10000000;18,32
10000000;18,3
10000000;18,54
10000000;18,63
10000000;18,43
10000000;18,49
10000000;18,56
